,loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2239,2240,1, Not Graduate, Yes,5300000,18900000,16,361,300000,5000000,11900000,5500000, Rejected
2244,2245,3, Not Graduate, No,3300000,9300000,12,324,5300000,2600000,7500000,2000000, Rejected
2245,2246,4, Graduate, Yes,2500000,9000000,10,394,6700000,2000000,7300000,3000000, Rejected
2247,2248,5, Not Graduate, No,1000000,2300000,16,423,1700000,700000,2900000,1400000, Rejected
2248,2249,5, Graduate, Yes,6200000,12800000,2,539,5600000,9800000,22300000,4800000, Rejected
2250,2251,2, Graduate, Yes,7000000,19000000,6,523,5300000,9300000,25800000,9500000, Rejected
2252,2253,0, Not Graduate, Yes,1800000,3700000,2,505,3900000,2400000,4500000,1400000, Rejected
2253,2254,0, Graduate, Yes,2300000,7900000,10,430,6600000,2800000,8100000,1900000, Rejected
2255,2256,1, Not Graduate, No,8900000,24000000,6,380,16500000,7400000,27700000,7500000, Rejected
2257,2258,4, Graduate, Yes,7900000,26900000,14,446,17900000,7300000,16500000,8200000, Rejected
2258,2259,5, Graduate, Yes,6700000,20200000,8,406,6900000,4900000,15300000,7100000, Rejected
2261,2262,1, Not Graduate, Yes,5300000,14600000,20,508,11200000,2800000,17000000,4600000, Rejected
2263,2264,0, Not Graduate, Yes,8700000,18700000,10,346,1200000,1800000,30700000,8200000, Rejected
2264,2265,5, Graduate, No,8200000,18500000,4,394,9600000,5700000,27400000,11100000, Rejected
2265,2266,0, Not Graduate, Yes,3700000,9700000,12,501,2600000,6600000,9200000,4600000, Rejected
2269,2270,5, Not Graduate, No,9200000,18900000,10,521,8300000,14500000,23400000,6900000, Rejected
2270,2271,3, Graduate, No,7200000,27900000,12,473,21100000,8800000,27800000,8700000, Rejected
2272,2273,5, Graduate, No,8000000,23100000,20,461,5900000,2400000,29300000,7200000, Rejected
2274,2275,0, Not Graduate, Yes,4300000,15600000,18,440,6200000,1300000,10000000,4700000, Rejected
2278,2279,3, Not Graduate, Yes,5800000,13600000,12,321,1700000,3300000,22300000,3400000, Rejected
2279,2280,3, Graduate, Yes,1000000,2300000,10,303,1000000,400000,2500000,1000000, Rejected
2282,2283,0, Graduate, Yes,7500000,16600000,14,440,17200000,14500000,24100000,10300000, Rejected
2284,2285,3, Not Graduate, No,9100000,19700000,20,437,6300000,13700000,23700000,12900000, Rejected
2287,2288,2, Not Graduate, No,200000,800000,6,338,100000,0,400000,100000, Rejected
2291,2292,3, Graduate, Yes,4100000,10600000,14,475,5400000,4300000,13900000,4500000, Rejected
2293,2294,3, Not Graduate, No,7800000,17700000,6,403,12600000,3700000,24700000,10000000, Rejected
2299,2300,2, Not Graduate, No,900000,2000000,14,337,1700000,0,2100000,600000, Rejected
2302,2303,5, Graduate, Yes,9700000,30100000,12,434,19600000,17900000,21000000,6900000, Rejected
2303,2304,2, Graduate, Yes,8400000,32600000,10,384,13900000,1600000,21600000,7000000, Rejected
2305,2306,4, Graduate, No,7900000,29900000,8,314,22000000,4600000,26000000,8100000, Rejected
2310,2311,1, Graduate, Yes,7100000,20800000,20,437,9600000,7300000,24700000,8800000, Rejected
2313,2314,1, Graduate, Yes,8700000,31700000,12,525,7800000,10200000,30300000,6100000, Rejected
2315,2316,0, Not Graduate, No,2000000,4800000,20,337,1300000,2200000,5500000,1700000, Rejected
2316,2317,4, Graduate, Yes,8600000,27900000,8,458,22400000,1800000,34000000,11700000, Rejected
2317,2318,2, Graduate, Yes,2300000,5400000,8,364,4500000,500000,7000000,2000000, Rejected
2318,2319,2, Not Graduate, Yes,9600000,29800000,16,499,28500000,6300000,31800000,7400000, Rejected
2329,2330,4, Graduate, Yes,9000000,30400000,20,532,21000000,7400000,30500000,13100000, Rejected
2337,2338,1, Graduate, No,5700000,15500000,8,544,10500000,8700000,20900000,7000000, Rejected
2338,2339,5, Graduate, No,6100000,20700000,20,482,9400000,2000000,16900000,5900000, Rejected
2340,2341,1, Graduate, No,6000000,21200000,12,549,17900000,8200000,16900000,6200000, Rejected
2342,2343,4, Not Graduate, No,2000000,4800000,8,302,1500000,800000,4000000,2600000, Rejected
2345,2346,3, Graduate, No,4100000,15300000,6,440,7500000,5100000,8200000,2000000, Rejected
2348,2349,4, Graduate, Yes,9500000,22600000,14,433,10000000,900000,23100000,13400000, Rejected
2349,2350,0, Graduate, No,9200000,22500000,10,317,14200000,17400000,28500000,10700000, Rejected
2350,2351,2, Graduate, No,3900000,14700000,16,360,2600000,200000,8300000,2900000, Rejected
2353,2354,4, Graduate, No,2000000,4300000,8,373,2000000,2700000,7700000,2200000, Rejected
2354,2355,5, Graduate, No,6300000,14600000,8,469,13300000,10100000,24500000,3800000, Rejected
2355,2356,3, Not Graduate, Yes,4100000,10900000,8,548,8800000,5200000,13200000,4300000, Rejected
2360,2361,5, Not Graduate, No,2200000,8100000,4,409,300000,0,4900000,2400000, Rejected
2361,2362,2, Not Graduate, Yes,8300000,20600000,10,504,100000,900000,33200000,6700000, Rejected
2362,2363,3, Graduate, Yes,6100000,21600000,16,428,2900000,6100000,15100000,7200000, Rejected
2366,2367,4, Graduate, Yes,3900000,13300000,20,453,9800000,500000,12300000,4700000, Rejected
2367,2368,3, Graduate, Yes,8900000,35400000,14,404,22300000,7700000,26400000,5900000, Rejected
2369,2370,1, Not Graduate, Yes,9500000,28700000,16,526,24600000,4900000,31800000,6600000, Rejected
2378,2379,2, Not Graduate, Yes,5100000,13300000,14,313,5900000,7900000,18000000,3900000, Rejected
2380,2381,0, Graduate, Yes,200000,300000,18,520,100000,300000,600000,100000, Rejected
2382,2383,3, Graduate, Yes,8700000,33600000,14,314,7700000,10000000,21700000,6200000, Rejected
2389,2390,4, Graduate, No,7800000,17300000,4,394,3600000,13100000,24300000,7200000, Rejected
2391,2392,1, Graduate, No,3200000,8800000,4,405,1000000,2600000,10700000,3400000, Rejected
2393,2394,5, Not Graduate, Yes,9200000,28100000,10,448,22300000,3300000,33200000,10700000, Rejected
2394,2395,2, Not Graduate, Yes,4700000,13700000,6,506,1300000,7900000,16700000,3500000, Rejected
2398,2399,5, Graduate, No,7300000,17200000,2,345,6100000,8400000,23200000,4900000, Rejected
2400,2401,4, Not Graduate, No,8300000,23300000,20,398,18500000,11500000,17100000,9900000, Rejected
2401,2402,5, Not Graduate, Yes,4100000,9600000,2,307,8800000,7800000,8500000,3100000, Rejected
2403,2404,1, Not Graduate, No,9300000,27500000,6,364,12200000,13800000,25300000,10800000, Rejected
2412,2413,4, Not Graduate, No,9700000,26200000,4,518,26200000,0,22500000,14000000, Rejected
2413,2414,0, Graduate, Yes,6900000,26800000,20,515,10800000,2500000,16700000,8300000, Rejected
2414,2415,2, Not Graduate, Yes,3800000,12400000,8,340,1800000,2600000,9700000,2600000, Rejected
2415,2416,3, Not Graduate, Yes,600000,1700000,14,521,0,1000000,1700000,600000, Rejected
2416,2417,2, Not Graduate, Yes,1200000,2900000,12,330,400000,1600000,3800000,600000, Rejected
2419,2420,1, Not Graduate, No,2800000,9100000,12,436,3600000,500000,7800000,3600000, Rejected
2420,2421,1, Not Graduate, No,7800000,21300000,10,326,22800000,10700000,18500000,4500000, Rejected
2423,2424,4, Graduate, No,5100000,16100000,14,436,11400000,2700000,13100000,6700000, Rejected
2425,2426,0, Not Graduate, No,6000000,22900000,16,302,12200000,6500000,17700000,7100000, Rejected
2426,2427,2, Not Graduate, No,8400000,23200000,16,476,15200000,5400000,18700000,8600000, Rejected
2427,2428,2, Graduate, No,9300000,22000000,14,393,4300000,3800000,28400000,13900000, Rejected
2428,2429,0, Graduate, No,4200000,10300000,10,506,9300000,4500000,12400000,6000000, Rejected
2429,2430,3, Graduate, No,9600000,37800000,10,418,6700000,5500000,34900000,11300000, Rejected
2433,2434,3, Graduate, No,2400000,5900000,2,425,1100000,500000,7400000,2500000, Rejected
2434,2435,0, Not Graduate, No,3900000,11300000,12,305,5000000,5900000,8800000,2100000, Rejected
2435,2436,5, Graduate, Yes,9600000,20600000,6,456,17300000,11000000,21700000,11600000, Rejected
2440,2441,4, Graduate, No,7600000,29800000,20,361,13800000,5800000,15300000,5900000, Rejected
2443,2444,4, Not Graduate, Yes,6700000,24700000,6,498,12900000,700000,18800000,8400000, Rejected
2447,2448,2, Graduate, Yes,4800000,17500000,20,381,400000,6900000,13400000,7000000, Rejected
2448,2449,5, Graduate, Yes,6100000,14400000,16,400,9200000,2800000,23800000,5600000, Rejected
2450,2451,5, Not Graduate, Yes,4100000,12400000,8,309,8200000,1000000,13000000,3300000, Rejected
2454,2455,4, Graduate, Yes,1200000,3100000,16,348,1200000,2200000,3500000,1700000, Rejected
2455,2456,1, Graduate, Yes,8400000,19700000,6,476,24700000,16500000,31800000,12100000, Rejected
2458,2459,2, Graduate, No,2500000,7000000,20,547,800000,1200000,5200000,2300000, Rejected
2460,2461,5, Graduate, No,1100000,4000000,16,498,400000,100000,2300000,700000, Rejected
2462,2463,0, Not Graduate, Yes,8200000,31500000,8,403,11500000,8800000,19000000,6100000, Rejected
2464,2465,1, Not Graduate, No,1500000,6000000,6,507,2600000,2700000,4800000,1900000, Rejected
2465,2466,5, Not Graduate, No,3700000,9100000,18,368,3400000,2400000,8400000,3300000, Rejected
2472,2473,1, Graduate, No,4900000,18100000,8,382,13600000,400000,15500000,2400000, Rejected
2486,2487,3, Graduate, Yes,2300000,8000000,14,472,4400000,3300000,7700000,1800000, Rejected
2488,2489,2, Graduate, Yes,2700000,6400000,18,547,5000000,1700000,9200000,1700000, Rejected
2492,2493,5, Not Graduate, No,200000,600000,16,396,0,0,500000,200000, Rejected
2495,2496,3, Graduate, No,4700000,10800000,8,527,13300000,3100000,13600000,4800000, Rejected
2503,2504,2, Not Graduate, No,5500000,19600000,16,328,2400000,4800000,10900000,3700000, Rejected
2507,2508,4, Graduate, No,5600000,15600000,12,470,9900000,10700000,14600000,7000000, Rejected
2509,2510,5, Not Graduate, No,9100000,27800000,16,547,21900000,7000000,31900000,9400000, Rejected
2511,2512,4, Graduate, No,7300000,14900000,2,358,13600000,12300000,20400000,7300000, Rejected
2514,2515,3, Graduate, No,500000,1700000,10,509,400000,300000,1400000,300000, Rejected
2517,2518,5, Graduate, Yes,2100000,7100000,10,517,1200000,2900000,5400000,1400000, Rejected
2518,2519,1, Not Graduate, Yes,5700000,20100000,14,442,11700000,7300000,17900000,6500000, Rejected
2519,2520,1, Not Graduate, Yes,1100000,2700000,16,346,1900000,300000,2200000,800000, Rejected
2524,2525,1, Graduate, Yes,7000000,25600000,6,420,15100000,11500000,15300000,8700000, Rejected
2526,2527,3, Graduate, Yes,4700000,13200000,12,440,4000000,3300000,16600000,4300000, Rejected
2528,2529,0, Graduate, No,2500000,7800000,8,437,5800000,0,5800000,3300000, Rejected
2529,2530,1, Not Graduate, Yes,400000,1400000,12,468,700000,0,1500000,400000, Rejected
2530,2531,0, Not Graduate, Yes,2400000,9100000,8,368,2200000,200000,5600000,3300000, Rejected
2542,2543,1, Graduate, Yes,4000000,12100000,12,356,10500000,2500000,15600000,5000000, Rejected
2547,2548,2, Not Graduate, No,1400000,2900000,12,490,600000,1600000,5500000,1300000, Rejected
2548,2549,2, Graduate, Yes,1800000,5500000,6,448,2900000,300000,5600000,1300000, Rejected
2549,2550,0, Graduate, Yes,1000000,3100000,6,525,1900000,1700000,2800000,1400000, Rejected
2550,2551,1, Graduate, No,7400000,19200000,20,415,2200000,4800000,29200000,7000000, Rejected
2551,2552,5, Graduate, No,2700000,10600000,16,496,800000,2900000,9700000,2400000, Rejected
2552,2553,1, Not Graduate, Yes,3600000,13100000,8,543,2900000,100000,9900000,2700000, Rejected
2553,2554,5, Graduate, No,7000000,18400000,12,520,4700000,11900000,17000000,3800000, Rejected
2554,2555,4, Not Graduate, Yes,5000000,18000000,14,307,5300000,5600000,12800000,3300000, Rejected
2555,2556,2, Graduate, No,1800000,5700000,14,502,1400000,1100000,4400000,1300000, Rejected
2556,2557,2, Graduate, Yes,4700000,12000000,6,505,3400000,3800000,18000000,2300000, Rejected
2561,2562,1, Not Graduate, Yes,700000,1400000,10,523,700000,1100000,1600000,900000, Rejected
2562,2563,0, Not Graduate, Yes,3700000,13100000,14,385,10600000,6800000,9200000,4900000, Rejected
2565,2566,3, Not Graduate, Yes,9500000,20100000,2,506,16800000,800000,32700000,11000000, Rejected
2569,2570,5, Not Graduate, No,5000000,10800000,10,345,12300000,5000000,14100000,6300000, Rejected
2575,2576,2, Graduate, No,3600000,12100000,14,408,10100000,4200000,13000000,5400000, Rejected
2576,2577,5, Graduate, No,600000,1300000,14,408,1000000,300000,1600000,900000, Rejected
2577,2578,1, Graduate, Yes,4900000,16500000,12,439,7500000,1400000,10300000,7200000, Rejected
2578,2579,3, Graduate, Yes,3000000,7100000,6,415,2000000,5700000,9500000,2500000, Rejected
2579,2580,0, Not Graduate, Yes,3800000,10600000,12,490,3300000,6500000,14400000,3100000, Rejected
2581,2582,4, Graduate, No,7800000,25400000,18,425,3000000,14000000,30500000,7200000, Rejected
2584,2585,2, Not Graduate, No,4900000,16800000,10,480,2200000,8900000,12600000,2700000, Rejected
2585,2586,3, Not Graduate, Yes,1100000,3100000,16,356,1300000,100000,3000000,1600000, Rejected
2590,2591,0, Not Graduate, Yes,3700000,11300000,6,538,6200000,400000,10400000,5400000, Rejected
2591,2592,2, Graduate, No,7400000,16000000,20,358,16700000,5500000,26800000,4300000, Rejected
2592,2593,2, Not Graduate, No,3300000,11700000,14,439,4000000,6300000,8300000,1700000, Rejected
2593,2594,2, Graduate, Yes,4800000,15300000,12,503,3300000,4000000,12000000,4300000, Rejected
2595,2596,1, Graduate, Yes,8000000,30600000,14,302,12700000,13100000,23900000,6800000, Rejected
2596,2597,0, Not Graduate, No,4100000,8800000,18,300,10900000,6400000,8600000,3500000, Rejected
2599,2600,0, Graduate, Yes,2300000,4900000,12,409,3300000,2400000,4700000,3200000, Rejected
2600,2601,5, Graduate, No,300000,900000,6,492,800000,300000,700000,400000, Rejected
2601,2602,0, Graduate, Yes,7000000,21700000,20,498,6600000,5500000,14700000,3900000, Rejected
2606,2607,4, Graduate, Yes,2200000,5100000,6,308,3200000,2600000,6600000,3100000, Rejected
2611,2612,3, Not Graduate, Yes,4800000,14200000,12,369,3200000,200000,14000000,3000000, Rejected
2613,2614,0, Not Graduate, Yes,9600000,19600000,12,500,21500000,700000,37600000,10900000, Rejected
2617,2618,1, Not Graduate, Yes,1400000,3300000,18,321,900000,1500000,3000000,700000, Rejected
2619,2620,3, Not Graduate, No,2700000,10800000,6,480,4400000,0,10300000,3500000, Rejected
2622,2623,3, Graduate, No,3700000,9000000,6,483,9300000,400000,9900000,3600000, Rejected
2625,2626,2, Graduate, No,7900000,17700000,4,402,20900000,11800000,25600000,8400000, Rejected
2626,2627,4, Graduate, Yes,2100000,7700000,8,493,4300000,400000,4400000,1300000, Rejected
2633,2634,0, Graduate, No,7300000,16100000,2,490,7600000,1400000,21800000,10700000, Rejected
2636,2637,0, Not Graduate, No,1000000,2200000,12,302,2200000,400000,3700000,1400000, Rejected
2638,2639,0, Graduate, Yes,2900000,9900000,8,312,1800000,4500000,11200000,3700000, Rejected
2640,2641,5, Not Graduate, Yes,6000000,14700000,18,462,15400000,9700000,13800000,3500000, Rejected
2643,2644,4, Graduate, No,600000,1400000,4,507,200000,300000,1700000,400000, Rejected
2644,2645,2, Not Graduate, Yes,4100000,11400000,14,505,8100000,7500000,10100000,5500000, Rejected
2645,2646,0, Not Graduate, Yes,800000,3200000,8,467,900000,400000,3100000,800000, Rejected
2646,2647,2, Not Graduate, No,6600000,22900000,16,543,2500000,11000000,26300000,8500000, Rejected
2651,2652,2, Graduate, No,3800000,9400000,16,383,8300000,500000,9200000,2300000, Rejected
2654,2655,5, Graduate, No,5300000,19400000,6,510,14700000,7000000,13600000,3700000, Rejected
2657,2658,1, Not Graduate, Yes,1200000,4800000,6,344,2900000,1700000,3200000,1300000, Rejected
2659,2660,0, Not Graduate, Yes,8400000,27200000,10,514,2500000,6400000,20100000,7200000, Rejected
2662,2663,3, Graduate, No,4200000,12500000,20,375,1300000,5100000,10900000,2400000, Rejected
2665,2666,0, Not Graduate, Yes,9300000,32000000,8,438,24800000,6400000,34900000,12400000, Rejected
2666,2667,5, Not Graduate, No,6200000,13700000,2,468,3300000,12300000,13900000,5500000, Rejected
2669,2670,5, Graduate, Yes,9500000,36700000,16,348,3500000,2200000,31600000,11400000, Rejected
2684,2685,1, Not Graduate, Yes,3500000,10500000,20,454,8300000,4000000,7600000,2100000, Rejected
2686,2687,4, Not Graduate, Yes,6400000,21300000,20,332,3600000,9100000,16200000,8000000, Rejected
2687,2688,1, Not Graduate, No,9600000,28300000,6,536,18700000,9300000,27300000,6000000, Rejected
2689,2690,2, Not Graduate, Yes,6000000,19900000,8,486,12100000,8100000,20100000,6600000, Rejected
2690,2691,0, Not Graduate, Yes,8300000,16800000,18,422,8000000,10600000,23300000,11400000, Rejected
2691,2692,1, Not Graduate, Yes,5300000,18500000,6,501,6700000,8600000,16600000,4300000, Rejected
2693,2694,3, Not Graduate, Yes,8200000,16500000,18,371,19000000,1200000,18500000,8200000, Rejected
2694,2695,5, Graduate, No,3400000,6900000,14,312,1800000,400000,10300000,3800000, Rejected
2697,2698,1, Graduate, No,8200000,24000000,4,366,10900000,15200000,25200000,10400000, Rejected
2698,2699,4, Not Graduate, No,4200000,11100000,8,526,11600000,200000,16800000,4900000, Rejected
2699,2700,4, Graduate, Yes,5500000,14800000,10,354,16000000,3400000,21200000,7700000, Rejected
2705,2706,5, Graduate, Yes,6900000,16500000,6,447,4100000,400000,14100000,6600000, Rejected
2708,2709,2, Graduate, Yes,8200000,23600000,6,495,23000000,10600000,27200000,6100000, Rejected
2710,2711,3, Graduate, Yes,7400000,15200000,10,548,16700000,12800000,19300000,4800000, Rejected
2720,2721,3, Not Graduate, Yes,5400000,14700000,4,359,12300000,9900000,15100000,6100000, Rejected
2721,2722,1, Graduate, No,6100000,19100000,6,341,5700000,5900000,12400000,6300000, Rejected
2724,2725,1, Graduate, Yes,6100000,12900000,2,302,8900000,7500000,15600000,7200000, Rejected
2725,2726,2, Not Graduate, Yes,7700000,21000000,12,420,16100000,4300000,27400000,10500000, Rejected
2726,2727,4, Graduate, Yes,4700000,12000000,2,416,5800000,8200000,13000000,6800000, Rejected
2728,2729,0, Graduate, Yes,5800000,12700000,12,528,8400000,7300000,19600000,7600000, Rejected
2729,2730,4, Not Graduate, No,8500000,24900000,2,405,1900000,400000,21700000,11400000, Rejected
2740,2741,2, Graduate, Yes,9400000,37300000,14,383,7800000,15900000,27100000,7700000, Rejected
2741,2742,2, Graduate, No,5300000,19300000,16,368,14700000,400000,11600000,3700000, Rejected
2748,2749,5, Not Graduate, Yes,600000,1200000,8,343,100000,700000,1600000,600000, Rejected
2756,2757,2, Graduate, Yes,2800000,8400000,10,534,8300000,4800000,10600000,1500000, Rejected
2764,2765,1, Not Graduate, No,2600000,7700000,6,399,3700000,4300000,8900000,3500000, Rejected
2765,2766,2, Not Graduate, No,2700000,6700000,8,413,7600000,800000,9200000,2300000, Rejected
2766,2767,5, Graduate, Yes,6300000,13200000,16,321,6700000,4000000,15200000,7100000, Rejected
2768,2769,4, Not Graduate, Yes,7700000,23400000,6,400,3900000,3400000,20800000,10700000, Rejected
2771,2772,1, Graduate, No,2900000,7600000,2,358,800000,700000,10100000,2100000, Rejected
2772,2773,3, Graduate, Yes,6600000,16000000,10,510,1200000,4800000,13300000,6300000, Rejected
2776,2777,4, Graduate, Yes,7900000,30700000,10,322,10600000,13200000,30300000,6300000, Rejected
2788,2789,0, Not Graduate, Yes,2600000,9900000,20,368,3600000,1500000,5200000,2000000, Rejected
2790,2791,0, Not Graduate, Yes,1000000,3000000,18,382,2200000,700000,3500000,900000, Rejected
2793,2794,4, Graduate, No,8400000,23400000,12,350,18700000,9100000,27500000,6700000, Rejected
2796,2797,1, Graduate, No,3900000,8000000,6,448,100000,1900000,9800000,4000000, Rejected
2799,2800,4, Graduate, No,7500000,28700000,20,520,4600000,3500000,15200000,5700000, Rejected
2802,2803,1, Not Graduate, Yes,5100000,12900000,14,533,6700000,6700000,14400000,3900000, Rejected
2806,2807,5, Graduate, Yes,6500000,18300000,4,333,8100000,400000,21700000,7000000, Rejected
2809,2810,0, Graduate, Yes,9600000,20100000,16,427,7200000,2300000,34500000,7400000, Rejected
2811,2812,2, Not Graduate, No,4000000,8100000,16,312,3500000,2100000,15100000,3100000, Rejected
2812,2813,1, Not Graduate, Yes,8100000,30900000,12,464,13600000,9800000,17900000,7500000, Rejected
2813,2814,2, Not Graduate, Yes,6600000,22800000,8,490,6100000,10000000,18000000,6400000, Rejected
2814,2815,5, Graduate, No,4100000,10200000,12,431,6200000,2200000,13700000,4300000, Rejected
2816,2817,4, Graduate, No,5100000,12200000,14,511,2700000,6000000,18300000,3400000, Rejected
2820,2821,2, Not Graduate, Yes,8400000,20800000,12,335,6700000,12300000,18500000,10100000, Rejected
2823,2824,4, Not Graduate, Yes,2700000,6800000,10,455,4700000,2600000,7400000,2700000, Rejected
2827,2828,0, Not Graduate, Yes,5100000,11600000,10,308,8700000,1300000,10700000,7000000, Rejected
2832,2833,4, Not Graduate, Yes,7500000,18000000,20,395,200000,12800000,23500000,9700000, Rejected
2834,2835,2, Not Graduate, No,2000000,4300000,16,497,5100000,200000,5700000,2800000, Rejected
2837,2838,2, Graduate, Yes,5300000,14900000,6,504,10600000,2100000,17000000,3200000, Rejected
2840,2841,5, Graduate, No,9000000,25900000,4,538,11100000,11100000,31300000,8100000, Rejected
2843,2844,1, Not Graduate, No,500000,1400000,6,464,1100000,0,1900000,500000, Rejected
2854,2855,3, Not Graduate, Yes,700000,2500000,8,321,1900000,1200000,1700000,400000, Rejected
2856,2857,3, Not Graduate, Yes,8300000,31400000,6,674,1000000,1600000,17200000,6100000, Rejected
2860,2861,1, Not Graduate, Yes,4400000,10600000,4,360,6600000,7700000,15100000,5000000, Rejected
2861,2862,0, Not Graduate, No,6300000,19600000,6,425,15900000,10400000,13300000,5900000, Rejected
2862,2863,4, Graduate, No,9900000,30000000,18,496,10400000,8000000,29300000,13800000, Rejected
2864,2865,4, Not Graduate, No,3600000,12400000,14,427,10400000,2400000,9100000,2600000, Rejected
2869,2870,4, Graduate, No,9900000,26100000,2,481,14500000,5000000,23600000,9300000, Rejected
2872,2873,1, Not Graduate, No,8100000,25400000,6,477,4500000,13200000,23200000,4400000, Rejected
2877,2878,0, Not Graduate, No,6000000,20600000,12,339,3400000,10700000,17200000,8200000, Rejected
2879,2880,0, Graduate, Yes,7000000,22100000,14,467,10000000,6400000,26100000,5800000, Rejected
2880,2881,0, Graduate, Yes,5400000,12900000,16,355,11200000,3100000,18200000,7400000, Rejected
2881,2882,1, Not Graduate, No,6400000,16400000,6,428,12400000,10900000,23900000,8900000, Rejected
2882,2883,5, Not Graduate, Yes,7000000,24000000,14,450,10300000,5700000,21100000,4700000, Rejected
2883,2884,2, Not Graduate, Yes,2100000,4600000,4,348,5400000,0,7400000,1400000, Rejected
2884,2885,4, Not Graduate, Yes,4400000,15000000,12,459,5700000,800000,11400000,2400000, Rejected
2886,2887,2, Not Graduate, Yes,3900000,8300000,18,523,800000,300000,9900000,2300000, Rejected
2888,2889,0, Graduate, No,6800000,21200000,14,300,0,8700000,16500000,10000000, Rejected
2891,2892,1, Not Graduate, Yes,3600000,13700000,10,548,9900000,2400000,8900000,4100000, Rejected
2896,2897,2, Graduate, No,5400000,17400000,10,335,5900000,1400000,18100000,4300000, Rejected
2898,2899,4, Not Graduate, No,6000000,14900000,2,321,6900000,7700000,18000000,6500000, Rejected
2902,2903,4, Not Graduate, Yes,3600000,12400000,18,494,5300000,100000,10200000,1900000, Rejected
2905,2906,5, Graduate, No,1100000,2800000,14,473,100000,500000,4200000,700000, Rejected
2908,2909,0, Not Graduate, No,5700000,21400000,8,340,3200000,1900000,17200000,3800000, Rejected
2910,2911,5, Not Graduate, No,500000,1200000,16,499,600000,600000,1500000,200000, Rejected
2911,2912,3, Graduate, No,8900000,21300000,10,467,18700000,2600000,31800000,8800000, Rejected
2915,2916,1, Graduate, No,8400000,21800000,2,492,4000000,11000000,18200000,6600000, Rejected
2921,2922,3, Not Graduate, No,5700000,12300000,6,364,7900000,11000000,20000000,5500000, Rejected
2922,2923,0, Not Graduate, Yes,9600000,23800000,12,389,25200000,15800000,27000000,8300000, Rejected
2924,2925,0, Graduate, No,4000000,11500000,8,434,4500000,2800000,8400000,5900000, Rejected
2926,2927,3, Graduate, Yes,4000000,14700000,8,376,3000000,6200000,8900000,4200000, Rejected
2929,2930,4, Graduate, Yes,1100000,4400000,6,515,1000000,700000,4300000,1500000, Rejected
2930,2931,3, Not Graduate, No,8700000,24800000,20,360,25300000,8700000,31100000,4300000, Rejected
2932,2933,1, Not Graduate, Yes,2800000,9100000,14,510,2400000,4200000,10400000,3000000, Rejected
2933,2934,0, Graduate, No,9600000,23200000,18,389,1000000,17600000,22200000,8800000, Rejected
2934,2935,3, Graduate, Yes,6900000,19000000,14,348,4200000,3700000,19400000,4900000, Rejected
2938,2939,2, Not Graduate, No,5900000,19800000,20,327,7800000,1500000,19700000,8500000, Rejected
2949,2950,0, Graduate, Yes,8500000,33700000,10,483,18800000,8900000,29000000,12200000, Rejected
2950,2951,4, Not Graduate, Yes,2100000,5500000,18,349,100000,0,6600000,2000000, Rejected
2952,2953,4, Not Graduate, No,7900000,31500000,20,386,14300000,3800000,23800000,7500000, Rejected
2953,2954,5, Not Graduate, No,6900000,19200000,12,408,10000000,5000000,24900000,9000000, Rejected
2955,2956,0, Graduate, Yes,1200000,3200000,18,473,2100000,600000,2400000,1200000, Rejected
2962,2963,1, Graduate, No,900000,2600000,4,346,400000,700000,2900000,900000, Rejected
2963,2964,5, Not Graduate, Yes,9000000,19100000,14,540,11300000,800000,18300000,4900000, Rejected
2969,2970,4, Graduate, No,4500000,15800000,14,439,8900000,6900000,15200000,4400000, Rejected
2972,2973,2, Graduate, No,4900000,18500000,8,492,12900000,5000000,10200000,5800000, Rejected
2974,2975,5, Graduate, No,7500000,15800000,18,458,7800000,6500000,22400000,8400000, Rejected
2975,2976,5, Not Graduate, No,5200000,13900000,4,422,7800000,4500000,12000000,7000000, Rejected
2978,2979,1, Not Graduate, Yes,3600000,13200000,20,546,8900000,3600000,13900000,2900000, Rejected
2981,2982,1, Graduate, No,7200000,15100000,8,379,2600000,8300000,21700000,8200000, Rejected
2982,2983,5, Graduate, No,4500000,16900000,18,455,2700000,2500000,10700000,5600000, Rejected
2984,2985,4, Graduate, Yes,6400000,21700000,10,384,16500000,8200000,15100000,5700000, Rejected
2992,2993,2, Graduate, No,500000,1700000,10,324,300000,300000,1800000,700000, Rejected
2993,2994,0, Not Graduate, Yes,3700000,9300000,14,531,8300000,1000000,8900000,1900000, Rejected
2994,2995,4, Not Graduate, Yes,8600000,21400000,14,476,6200000,2700000,28000000,12800000, Rejected
2996,2997,1, Not Graduate, Yes,7100000,18000000,20,477,6600000,13200000,19300000,9300000, Rejected
2998,2999,5, Not Graduate, No,8300000,17700000,12,334,19600000,13200000,22500000,9800000, Rejected
3000,3001,1, Not Graduate, Yes,9900000,25700000,2,340,15600000,18800000,29500000,11800000, Rejected
3001,3002,2, Graduate, No,5100000,11000000,14,322,7900000,2900000,10700000,5900000, Rejected
3003,3004,3, Graduate, Yes,4300000,12800000,16,346,3300000,1100000,11900000,3800000, Rejected
3007,3008,3, Graduate, No,1100000,3100000,14,359,1500000,1000000,4000000,1000000, Rejected
3008,3009,2, Not Graduate, No,7100000,27000000,10,430,20700000,8300000,24500000,4200000, Rejected
